"number","title","pageid","namespace","length","touched","Wikidata"
"75","Valmet_Tuuli","37365","","16646","20241226102524","Q824999"
"76","Jyrki_Kasvi","37591","","32791","20250325155555","Q5903411"
"77","Nokia_6600","37871","","2326","20221022013422","Q1647342"
"78","Iiro_Viinanen","38855","","9061","20250204023152","Q5995010"
"79","Luettelo_Espoon_kaupunginosista","39350","","5026","20240904174032","Q5283513"
"80","Kauklahti","40277","","16919","20241003140440","Q219044"
"81","Kurttila","40428","","6307","20250427104341","Q8095733"
"82","Keran_rautatieasema","40507","","7170","20250313181453","Q6393283"
"83","Mankin_rautatieasema","40509","","6199","20250330130749","Q6750548"
"84","Olari","40611","","15428","20241026204719","Q198663"
"85","Järvenperä","40648","","8194","20241230080238","Q10705611"
"86","Bodom","40700","","5997","20250224072420","Q10431991"
"87","Teuvo_Kohonen","40941","","9016","20250227135202","Q517898"
"88","Timo_Soini","41622","","47333","20250228170055","Q355463"
"89","Kehä_II","42398","","8395","20240207103343","Q745716"
"90","Arvo_Ylinen","43079","","5253","20230203195119","Q11853037"
"91","Torsti_Verkkola","43080","","2774","20250227114814","Q7827269"
"92","Veikko_Linnaluoto","43089","","1838","20250227162844","Q11900760"
"93","Valtatie_1","43892","","21052","20250130032113","Q1474027"
"94","Krepost_Sveaborg","44644","","27329","20250313110311","Q6436774"
"95","Espoo_Expos","45835","","2835","20241211174341","Q3058490"
"96","Seututie_110","47096","","6841","20250330133737","Q10650516"
"97","Kantatie_51","47099","","5190","20221012100524","Q6372678"
"98","Seututie_120","47100","","8001","20250419113424","Q4677239"
"99","Saarniraivio","47503","","1414","20150603115224","Q10726081"
"100","Vanttila_(Espoo)","47658","","7659","20241003143045","Q867538"
"101","Espoonlahti","48494","","47463","20250227013130","Q211491"
"102","Kari_Kairamo","48839","","5657","20250227070324","Q5897386"
"103","Jukka_Kemppinen","49468","","14885","20241110053058","Q11867706"
"104","Henttaa","51066","","9444","20250420054910","Q772712"
"105","Suomen_ralli","51671","","27335","20250420134742","Q849851"
"106","Eero_Paloheimo","51778","","8888","20250228011158","Q3742920"
"107","Kalevi_Kivistö","51828","","13984","20250227134823","Q1722194"
"108","Suvela","52687","","7713","20250407065735","Q10689108"
"109","Mankkaa","52690","","9145","20250224034652","Q653738"
"110","Latokaski","52754","","8645","20250325085558","Q8095752"
"111","Espoon_keskuspuisto","52760","","9149","20241112131941","Q198662"
"112","Saunalahti_(Espoo)","52780","","8879","20241003140012","Q611226"
"113","Nokia_5510","53218","","1912","20250203190124","Q1761216"
"114","Nokia_7650","53230","","2684","20221022015942","Q1429789"
"115","Dv12","53573","","27854","20250212175025","Q898548"
"116","Suna","53612","","1743","20240206095622","Q5411060"
"117","Finnoon_allas","53625","","5605","20241112134422","Q5410813"
"118","Finnoo","53651","","6668","20250410061638","Q10495539"
"119","Pertti_Haaparanta","53818","","6848","20241228083259","Q5404059"
"120","Suurpelto","54044","","6700","20240818051829","Q8095706"
"121","Kiekko-Espoo","54047","","27397","20250426200340","Q18660011"
"122","Kalajärvi","54368","","8816","20241003142557","Q219325"
"123","Lippajärvi","54442","","17878","20250418015426","Q4350782"
"124","Nuuksio","55662","","9145","20241113005027","Q867580"
"125","Leena_Luhtanen","56279","","6260","20230511150010","Q3228984"
"126","Nokia_3300","58622","","1964","20221022004016","Q2571720"
"127","Loviisan_ydinvoimalaitos","60212","","19785","20250124143433","Q1061884"
"128","Accountor_Tower","61131","","8690","20240903123943","Q3485890"
"129","Mikki_Kauste","63517","","7625","20250305150719","Q16299748"
"130","FC_Espoo","64731","","2265","20241030204305","Q5424919"
"131","Kirkkojärvi","64732","","3208","20231225112040","Q11871702"
"132","Nokia_9210_Communicator","64801","","4569","20240316132938","Q2451295"
"133","Meritorni","65331","","2871","20230323171842","Q3306513"
"134","Esa_Saarinen","65340","","12805","20250228051636","Q3735483"
"135","Pekka_Jauho","65535","","5978","20250227063836","Q11887112"
"136","Vammaisyleisurheilun_Euroopan-mestaruuskilpailut_2005","66982","","1522","20250109122728","Q48833806"
"137","Pekka_Ala-Pietilä","67578","","4517","20241112093312","Q7161071"
"138","Olli-Pekka_Kallasvuo","67762","","14439","20230827141626","Q1374132"
"139","Juuso_Välimäki_(taloustieteilijä)","68244","","1417","20231007134323","Q11868170"
"140","Verner_Weckman","68335","","6973","20250108122041","Q1363713"
"141","Valmet_Automotive","68768","","49572","20250417113548","Q118559"
"142","Kivenlahti","70299","","5594","20241002140704","Q10679302"
"143","Laaksolahti","70970","","8907","20250322093904","Q610667"
"144","Helsingin_seudun_pyöräilijät","71344","","15660","20231229222252","Q18658945"
"145","Albergan_kartano","71515","","3031","20250301011235","Q276856"
"146","Perkkaa","71519","","3974","20250326165523","Q11887478"
"147","Vallikallio","71733","","2164","20240912082935","Q10712291"
"148","Rantarata","72029","","39188","20250419222548","Q569863"
"149","Dv16","73322","","7279","20241112124957","Q11856390"
"150","FC_Honka","73323","","34986","20250227021731","Q385042"
"151","Runkolinja_550","74496","","20610","20250218215627","Q15544432"
"152","Matti_Alahuhta","76111","","8963","20250322193853","Q1910612"
"153","Neste_(yritys)","76481","","58136","20241201200810","Q616376"
"154","Espoon_rautatieasema","76659","","8874","20250324193003","Q246802"
"155","Leppävaaran_rautatieasema","76660","","7882","20240816173919","Q3735079"
"156","Elielinaukio","76662","","13201","20250330130628","Q10481387"
"157","Sello_(kauppakeskus)","76707","","8324","20241011075116","Q2268564"
"158","Juuso_Myllyrinne","76747","","2143","20240306060433","Q11868164"
"159","Arto_Lahti","77713","","4998","20230605165845","Q4801367"
"160","Jupperi","78592","","3639","20250206162343","Q11867946"
"161","Tero_Ojanperä","78906","","4693","20240704124950","Q11896966"
"162","Träskändan_kartano","79773","","10198","20250407135554","Q10705613"
"163","Espoon_tuomiokirkko","80721","","13137","20240831220438","Q1236587"
"164","Bemböle","81092","","3752","20241112110325","Q892027"
"165","Espoon_ulkoilusaaret","81161","","4001","20241014143204","Q5488532"
"166","Lakisto","81571","","6706","20250322171451","Q867532"
"167","Pekka_Tarjanne","82640","","8458","20241128225042","Q6204313"
"168","Mäkkylän_rautatieasema","82910","","4212","20240816174004","Q3359029"
"169","Jorvin_sairaala","83200","","4285","20241223084653","Q219283"
"170","Marko_Ahtisaari","83654","","7288","20250425062624","Q3701548"
"171","Kari_Uotila","83732","","4274","20241128225303","Q6370431"
"172","Mäkkylä","84141","","4221","20240306190757","Q10593119"
"173","Nöykkiö","84531","","9220","20250426202030","Q867276"
"174","Seppo_Särkiniemi","85281","","4259","20241128225004","Q11893035"
"175","Esport_Oilers","85317","","6404","20241015143652","Q5399064"
"176","Björn_Westerlund","86417","","3814","20240514043835","Q4919788"
"177","Simo_Vuorilehto","86420","","4395","20240630073732","Q7518082"
"178","Gumböle","86760","","6084","20241003145720","Q10510751"
"179","Olarin_kirkko","86795","","2254","20230324113428","Q5484220"
"180","Högnäs","86946","","5417","20241229113114","Q10532331"
"181","Pär_Stenbäck","87138","","9472","20241216223447","Q2984048"
"182","Mika_Tiivola","87168","","6824","20250228182646","Q6845555"
"183","Lippulaiva_(kauppakeskus)","90393","","21977","20250318011622","Q11876030"
"184","Gustaf_Nyström","91273","","4480","20240914200344","Q3076598"
"185","Claes_Andersson","91318","","19192","20250226151024","Q983641"
"186","Valmet_Tuuli_II","92230","","14178","20170211135033","Q20904964"
"187","Friisilä","92993","","7795","20240507061122","Q11860096"
"188","Hanna-Leena_Hemming","94646","","5054","20250304170844","Q11861320"
"189","Panorama_Tower","96366","","10569","20240801162607","Q166968"
"190","Muurala","97464","","5658","20241003142138","Q867553"
"191","Karakallio","97473","","7813","20241112175226","Q4350831"
"192","Westend","98341","","19119","20250416082122","Q10937429"
"193","Nuuksion_kansallispuisto","98347","","7633","20250427141609","Q1815268"
"194","Lintuvaara","98404","","11088","20250418001442","Q6305087"
"195","Bengt_Lundsten","98682","","1329","20250313021204","Q11854065"
"196","Kilon_rautatieasema","99411","","4859","20241210110116","Q6305063"
"197","Tuomarilan_rautatieasema","99648","","3611","20240406064309","Q6305074"
"198","Elsi_Hetemäki","99663","","8059","20241128221905","Q11122932"
"199","Laajalahti_(Espoo)","100015","","19587","20250406112313","Q652389"
"200","Iivisniemi","100440","","4981","20230422175549","Q13569817"
"201","Jääpallon_maailmanmestaruuskilpailut_1975","101380","","10151","20230117175249","Q806395"
"202","Leppävaaran_kaupunkirata","102373","","8206","20250127071712","Q3374350"
"203","7,62_KvKK_62","102493","","3949","20250226125858","Q2036941"
"204","Pohjois-Tapiola","102803","","9585","20241003132430","Q5491338"
"205","Mäntytorni","102820","","4680","20241127063651","Q5408392"
"206","Laurea-ammattikorkeakoulu","104197","","7578","20250214124143","Q5482866"
"207","Espoonkartano","104535","","5411","20250213185543","Q335128"
"208","Vanhakartano","104782","","5671","20250228195934","Q867546"
"209","Ttm1","105426","","6340","20241113083815","Q5408085"
"210","Kaupunginkallio","105448","","7145","20241003145052","Q5408960"
"211","Valtra","106269","","34177","20250228195822","Q385867"
"212","Susanna_Rahkonen","106657","","6346","20220720060258","Q11895374"
"213","Christina_Gestrin","106898","","9415","20241128221233","Q4949953"
"214","Nokia_9000_Communicator","107183","","4032","20220525165941","Q3505209"
"215","Nokia_9110_Communicator","107188","","2342","20230731034928","Q940725"
"216","Nokia_9300","107189","","3052","20221022020752","Q976893"
"217","Nokia_9500_Communicator","107191","","5343","20240629113059","Q736919"
"218","Kalle_Isokallio","107779","","21521","20241110052903","Q11869386"
"219","Rebecca_Piekkari","108326","","1370","20230107085330","Q11890338"
"220","Martin_Saarikangas","109251","","3627","20241105071423","Q6776521"
"221","Eero_Akaan-Penttilä","109314","","5241","20241128220704","Q4820217"
"222","Seppo_Westerlund","109448","","5222","20241128225552","Q15818409"
"223","Säteri_(Espoo)","109488","","5024","20240824114428","Q129363489"
"224","Pekka_Pesola","109554","","1990","20230412120303","Q16989783"
"225","Candomino","109607","","7834","20241103214522","Q11854897"
"226","Cetus_(uimaseura)","109636","","13869","20241220103827","Q5487018"
"227","Nokia_5210","110592","","1866","20240614091150","Q1072815"
"228","Otaniemen_RoolipeliClubi","110715","","2173","20250330102302","Q11885963"
"229","Velskola","110837","","4823","20250410161248","Q10717292"
"230","Vesipuisto_Serena","110984","","2876","20240510224544","Q18662785"
"231","Nokia_6111","111177","","2404","20221022011324","Q2468299"
"232","Martti_Valtonen","111226","","2685","20231023220209","Q11881367"
"233","Olarin_Voimistelijat","111900","","5328","20240321074413","Q11885252"
"234","Jukka_Rauhala","112035","","6585","20191110185932","Q725656"
"235","Karvasmäki","112830","","5169","20241003144835","Q8085939"
"236","Leo_Mechelin","112881","","79510","20250227213113","Q2668824"
"237","Ymmersta","114014","","2482","20240510160224","Q11902937"
"238","Nokia_9300i","115022","","2866","20221022020849","Q523233"
"239","Tietotekniikan_tutkimuslaitos","115306","","3015","20230121154408","Q5710503"
"240","Suvisaaristo","116115","","14693","20250226142530","Q892533"
"241","Haukilahti","116580","","65333","20241112150232","Q653107"
"242","Otto-Iivari_Meurman","117224","","5077","20250227214420","Q335468"
"243","Kaitaa","118160","","20497","20250323171537","Q892304"
"244","Gunnar_Nordström","118508","","27080","20240505151831","Q726175"
"245","Kolmperä_(Espoo)","120749","","4982","20241002140020","Q10547182"
"246","Tve4","121290","","4310","20231221185340","Q10706745"
"247","Reijo_Kupiainen","122368","","4134","20250227143950","Q16300179"
"248","Tietoevry","124362","","19482","20241204073908","Q1423707"
"249","Mika_Poutala","124426","","22217","20250410172804","Q1204776"
"250","Eero_Kasanen","125014","","2694","20221111081856","Q11856732"
"251","Dipoli_(rakennus)","125103","","5267","20240614133355","Q3029170"
"252","Espoontori","125194","","5162","20241208101934","Q11858820"
"253","Tuula_Linnainmaa","125469","","3374","20241128223347","Q11898870"
"254","Reijo_Luostarinen","125579","","3553","20211013062940","Q16985461"
"255","Mary_T._McDowell","126285","","1649","20210407221422","Q11881390"
"256","Veli_Sundbäck","126291","","3337","20231007175520","Q11900847"
"257","Lahnus","126608","","6757","20250322141157","Q11874410"
"258","Pertti_Korhonen","127289","","9598","20241229115936","Q14090200"
"259","Espoo_Metro_Areena","130506","","6899","20240422132010","Q808694"
"260","Nokia_tune","130612","","2235","20250401133356","Q578401"
"261","Röylä","131809","","6819","20241113043755","Q6305967"
"262","Ilkka_Tuomi","131872","","1680","20230907112327","Q5998581"
"263","Luukki","132155","","9582","20241225153726","Q10570596"
"264","Tka8","132707","","1440","20221002171600","Q10699076"
"265","Risto_M._Nieminen","132905","","4536","20250228001301","Q16989392"
"266","Keilaniemi","133078","","8600","20231227120849","Q6383723"
"267","Nokia_7710","134187","","4435","20240728133749","Q1761248"
"268","Dr12","134878","","7154","20241109082338","Q1400657"
"269","J._T._Bergqvist","134897","","2990","20180916110124","Q13423458"
"270","Casimir_Ehrnrooth","136016","","6843","20240528144958","Q5048800"
"271","Taksikuljetus","136493","","4195","20250418131911","Q18689214"
"272","Karhusuo","139100","","6536","20241003143245","Q10430733"
"273","Kiltakallio","139456","","6428","20241112183958","Q18660033"
"274","Maija_Torkko","139544","","884","20230108140322","Q16990942"
"275","Nokia_6820","141413","","1804","20221022014321","Q3502386"
"276","Aleksi_Bardy","141738","","8364","20250121131034","Q4716022"
"277","Tapiola_Sinfonietta","142837","","4626","20241230171854","Q3515467"
"278","Kaisa_Rastimo","143305","","6459","20241113034612","Q5476346"
"279","Series_80","143675","","1135","20240320153329","Q2471733"
"280","Nokia_6610","143722","","1510","20250203204909","Q11792733"
"281","Nokia_6610i","143724","","1879","20230801195335","Q2343226"
"282","Valmet_Lentokoneteollisuus","143829","","7369","20250228195558","Q11900190"
"283","Matti_Pohjola_(taloustieteilijä)","143854","","2109","20240112045126","Q6791708"
"284","Etelä-Tapiolan_lukio","143930","","19237","20250305173801","Q11858933"
"285","Perusmäki","144419","","6604","20241003143746","Q10509108"
"286","Kai-Veikko_Vuoristo","145227","","1237","20240204185543","Q16991334"
"287","Timo_H._A._Koski","146421","","2685","20240105074124","Q14090202"
"288","Mikko_Kosonen","146443","","3729","20241009235938","Q14090203"
"289","Hallstein_Mørk","146527","","2115","20191206190410","Q14090207"
"290","Anitra_Ahtola","147092","","3194","20240419150728","Q4765673"
"291","Lähderanta","147479","","8264","20250106201339","Q11879969"
"292","Tapiolan_urheilupuisto","147881","","4631","20240713024608","Q1109809"
"293","Kirkko_ja_kaupunki","148219","","6623","20240604050148","Q5406574"
"294","Kuitinmäen_koulu","148262","","4860","20250320174949","Q11873171"
"295","Aarnivalkean_koulu","148267","","4680","20250120183225","Q9384368"
"296","Tomi_Laamanen","148398","","1766","20240120142425","Q16981590"
"297","Stockmannin_Tapiolan_tavaratalo","149282","","4143","20241201130933","Q5477751"
"298","Tapiolan_Sokos","149851","","923","20240513195238","Q18662292"
"299","J._S._Sirén","150124","","13673","20241213184615","Q499284"
"300","Juhani_von_Boehm","150233","","2292","20230826221224","Q16297978"
"301","Matti_Hagman","151250","","23147","20250218213455","Q940406"
"302","Jukka_Ranta_(professori)","152061","","897","20250228042519","Q11867769"
"303","Hannu_Seristö","152418","","1694","20161006141209","Q11861449"
"304","Jussi_V._Koivisto","152818","","6398","20250227135315","Q6315674"
"305","Risto_Tainio_(professori)","152839","","859","20161006141219","Q11890934"
"306","Uusmäki","153097","","875","20210217053620","Q10604342"
"307","Paul_Lillrank","153737","","7852","20250227162453","Q11886933"
"308","Nokia_6060","154738","","1605","20230804203340","Q3342825"
"309","Death_Rally","155054","","5987","20240921075611","Q1346381"
"310","Carolus_Lindberg","159549","","6145","20250302070341","Q516115"
"311","Hjalmar_Mellin","159896","","4761","20250418173904","Q155381"
"312","Bengt_Holmström","160780","","14217","20240920215010","Q354897"
"313","Teollisuuden_Voima","161282","","6783","20240809011833","Q2913670"
"314","Westend_Indians","162027","","6964","20241008191423","Q11902353"
"315","Esbo_Bollklubb","164300","","6673","20250406142111","Q5396791"
"316","Nokia_3660","164771","","2546","20250203211116","Q2737442"
"317","Hannusjärvi","165804","","7311","20250322135432","Q5408904"
"318","Alan_Wake","166882","","61473","20250224034659","Q575505"
"319","Torolf_Eklund","168380","","1237","20200714192755","Q7826229"
"320","E._J._Nyström","168611","","4235","20240210165658","Q11856434"
"321","Matti_Leisola","169171","","20297","20241112204505","Q16983730"
"322","Sinikka_Luja-Penttilä","170302","","7625","20240416153231","Q16985266"
"323","Korsisaari","170732","","9179","20241201173319","Q90978272"
"324","Soukan_koulu","170850","","3234","20250226213923","Q11894252"
"325","Jaakko_Ihamuotila","172529","","3151","20250227055840","Q11865472"
"326","Georg_Ehrnrooth_(vuorineuvos,_s._1940)","172530","","1989","20231229164750","Q11860374"
"327","Matti_Louekoski","172532","","4673","20241026010923","Q6791705"
"328","Edward_Andersson","172776","","5709","20221004010555","Q11856639"
"329","Aalto-yliopiston_oppimiskeskus","176111","","6092","20240614133503","Q620919"
"330","Tapiolan_koulu_ja_lukio","178395","","17432","20250203190951","Q11896492"
"331","Ruusutorpan_koulu","185092","","2336","20240911141806","Q18661783"
"332","Tarja_Tallqvist","185962","","4861","20241113072602","Q11896526"
"333","Kesoil","186271","","5858","20250414173919","Q18688855"
"334","Mikko_Immonen_(puoluesihteeri)","188128","","2161","20211106211136","Q16299313"
"335","Tapiolan_kirkko","188787","","3577","20241204095249","Q11896491"
"336","Otaniemen_kappeli","188834","","2816","20241226115758","Q2957158"
"337","Nokia_Networks","189291","","20536","20250216123418","Q322731"
"338","Omnia","189880","","8954","20250303132816","Q11885531"
"339","Nokia_6630","190520","","3944","20250203213217","Q1643391"
"340","Rauma_(yritys)","190708","","2585","20230804070312","Q18689112"
"341","Nokia_6680","191613","","1909","20221022013912","Q1976578"
"342","Espoonjoki","191892","","5765","20241205080809","Q10489006"
"343","Gustaf_Komppa","194432","","7127","20230610162558","Q3750494"
"344","Vanessa_Kurri","195548","","6253","20240908061531","Q11900344"
"345","Espoon_nuorisovaltuusto","195671","","6439","20250126222131","Q11858809"
"346","Sepänkylä_(Espoo)","196397","","6627","20241003134322","Q610685"
"347","Musiikkiopisto_Juvenalia","197433","","1252","20250201102240","Q11868185"
"348","Espoon_musiikkiopisto","197445","","2406","20240812130519","Q11858808"
"349","Uolevi_Raade","198096","","7604","20221101125643","Q7897879"
"350","M/S_Suokki","198438","","5107","20250227171155","Q18688941"
"351","Nokia_1100","198519","","4735","20250420085515","Q498806"
"352","Tapiolan_Honka","198722","","8614","20240722220749","Q16637850"
"353","Move21","199528","","10334","20241229120318","Q18688982"
"354","Simon_Beresford-Wylie","199938","","4891","20231007192057","Q1331853"
"355","Kunnarla","200836","","3966","20250321022058","Q10510863"
"356","Länsiviitta","200972","","2445","20230419171748","Q108418966"
"357","Nokia_N70","201098","","2342","20221022030239","Q1153608"
"358","Espoon_tuomiokirkkoseurakunta","201555","","4988","20241005191252","Q11858810"
"359","M/S_Sea_Diamond","201958","","4959","20240221210319","Q578581"
"360","Onni_Tarjanne","202941","","6058","20241229004811","Q3020383"
"361","Nokia_E70","204104","","2243","20250203214509","Q2310311"
"362","Kauklahden_rautatieasema","205987","","5870","20250227124815","Q4411765"
"363","Dominante","206879","","2537","20220619035541","Q11856238"
"364","SexyPöxyt","208777","","2976","20240513090952","Q7458871"
"365","Marja-Liisa_Löyttyjärvi","209478","","4936","20241214033837","Q11880966"
"366","Espoon_työväenopisto","209723","","2861","20250303132753","Q11858812"
"367","April_Jazz","209736","","1745","20220929223530","Q4412341"
"368","Martti_Tiuri","209849","","7457","20250112155119","Q16990896"
"369","Westendinasema","211412","","3353","20240816173443","Q11902350"
"370","Nokia_Nseries","214916","","2273","20230114183759","Q755904"
"371","Siikajärvi","217154","","5980","20241003145509","Q10667722"
"372","Vanha-Nuuksio","217732","","2358","20220724050226","Q10502418"
"373","Teknologföreningen","219146","","4478","20250402115440","Q4412025"
"374","Espoon_Tikka","219683","","1110","20240321081736","Q11858796"
"375","Kaitaan_koulu","219995","","2132","20240416050646","Q11869034"
"376","Heikintori","220856","","9815","20240801111201","Q11861804"
"377","Juhani_Kuusi","221318","","2983","20241111185743","Q14090204"
"378","Lankamaa","224110","","1801","20240906233742","Q18660472"
"379","Vox_Artis","224514","","739","20120926130122","Q18662936"
"380","Viherlaakson_Veikot","224850","","1562","20240315074713","Q11901253"
"381","Perkkaanpuiston_koulu","225639","","2057","20250303154546","Q11887475"
"382","EMO_Ensemble","225922","","2411","20220731073400","Q11856467"
"383","Dm8","226280","","4698","20241213171940","Q11856194"
"384","ECross","226385","","1927","20200917153918","Q11856454"
"385","Niipperi","226619","","6770","20241003142316","Q5478324"
"386","Nupuri","226654","","3660","20250101125729","Q10604182"
"387","Kuurinniitty","227896","","4954","20250418191030","Q10550612"
"388","Mikkelä","228793","","1097","20240608172006","Q11882684"
"389","Espoon_Jääklubi","229589","","2733","20241211190911","Q11858784"
"390","Nokia_N95","231419","","5484","20230921180904","Q223895"
"391","Esbo_Idrottsförening","231655","","1533","20240314144824","Q11858636"
"392","Espoon_Tapiot","231799","","2585","20250408114233","Q11858794"
"393","MikroMikko","232764","","15147","20230224025018","Q4413222"
"394","Esport","233022","","2283","20240314144318","Q5397838"
"395","Nokia_Eseries","233306","","979","20171121195423","Q5993584"
"396","Etteplan","233915","","7858","20250428052543","Q10489442"
"397","Nokia_2600","236509","","2727","20221211231954","Q2020179"
"398","Miinalaiva_Keihässalmi","238141","","4780","20250122062020","Q5450846"
"399","Kyösti_Järvinen","239674","","9374","20241128222356","Q5895555"
"400","Henrikki_Tikkanen","239751","","4983","20250310061509","Q16990886"
"401","Martti_Mäntylä","240447","","1715","20180916111044","Q16989316"
"402","Marketanpuisto","240534","","1189","20230320182841","Q11881029"
"403","Espoon_Telinetaiturit","241632","","1573","20240611120916","Q11858795"
"404","Kannusillanmäki","244597","","3950","20241112174634","Q11869639"
"405","Espoon_Sitoutumattomat","245323","","3171","20220821131215","Q6017605"
"406","Finno_skola","247163","","2147","20221210061114","Q11859680"
"407","Maria_Guzenina","247773","","16579","20250304041927","Q2334883"
"408","Rauli_Virtanen","249535","","8326","20240802171554","Q7296200"
"409","Kattila_(Vihti)","251255","","3251","20230606164740","Q11870428"
"410","Matti_Makkonen_(insinööri)","251461","","7265","20230728170748","Q1090787"
"411","Kai_Mykkänen","251793","","20520","20250205180220","Q11868890"
"412","Keijo_Suila","253711","","4988","20231007202003","Q11870735"
"413","Visual_Radio","255219","","821","20220725035805","Q1054245"
"414","Kauklahden_Pyrintö","255685","","4248","20240720114659","Q11870498"
"415","Fredrik_Idestam","257866","","4581","20221029180442","Q2271104"
"416","Sprinttiuinnin_Euroopan-mestaruuskilpailut_1992","259014","","5384","20240315075209","Q2061503"
"417","Golden_Futsal_Team","259362","","8858","20240808123251","Q3772938"
"418","Lakiston_vesitorni","260997","","826","20240225185018","Q11874503"
